ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Percent Memory Used,_self,2017-11-10T12:00:00Z,31.33171645,46.39753786,64.56106184,CGWAPP661PD.hq.huskyenergy.com,CGWAPP661PD,Memory Utilization,Baseline,CGWAPP661PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,89.91644405,90.99207761,98.35196119,CGWAPP699PD.hq.huskyenergy.com,CGWAPP699PD,Memory Utilization,Baseline,CGWAPP699PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,60.94238364,63.13300381,70.4580617,CGWAPP722PD.hq.huskyenergy.com,CGWAPP722PD,Memory Utilization,Baseline,CGWAPP722PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,98.53511643,98.85403379,99.68871224,CGWAPP741PD.hq.huskyenergy.com,CGWAPP741PD,Memory Utilization,Baseline,CGWAPP741PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,24.33264691,32.40917002,51.59945768,CGWAPP892PD.hq.huskyenergy.com,CGWAPP892PD,Memory Utilization,Baseline,CGWAPP892PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,57.22984973,57.34073229,58.17794648,CGWAPP973PD.hq.huskyenergy.com,CGWAPP973PD,Memory Utilization,Baseline,CGWAPP973PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,58.29624727,74.09996738,99.95116657,CGWBTL535PD.hq.huskyenergy.com,CGWBTL535PD,Memory Utilization,Baseline,CGWBTL535PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,35.78397289,57.01188695,72.09166578,CGWBTL930PD.hq.huskyenergy.com,CGWBTL930PD,Memory Utilization,Baseline,CGWBTL930PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,39.76390157,41.37947589,47.57725848,CGWBTL958PD.hq.huskyenergy.com,CGWBTL958PD,Memory Utilization,Baseline,CGWBTL958PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,22.14050293,22.43448893,23.92578125,CGWDC14.hq.huskyenergy.com,CGWDC14,Memory Utilization,Baseline,CGWDC14.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,50.09557804,50.65224185,51.04776613,CGWEPO845PD.hq.huskyenergy.com,CGWEPO845PD,Memory Utilization,Baseline,CGWEPO845PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,23.42019498,23.42706148,23.43392798,CGWGGX279PD.hq.huskyenergy.com,CGWGGX279PD,Memory Utilization,Baseline,CGWGGX279PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,34.41563458,36.20622287,45.15916429,CGWBTL819PD.hq.huskyenergy.com,CGWBTL819PD,Memory Utilization,Baseline,CGWBTL819PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
