"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000fzvGAAQ","1B0033204506W400","N","0.02643","8.05","08-MAY-18","Item Updated"
"a8k16000000g0glAAA","1B0032904506W400","N","0.00235","12.23","08-MAY-18","Item Updated"
"a8k16000000g0DTAAY","1B0032704506W400","N","0.03189","8.49","08-MAY-18","Item Updated"
"a8k16000000g0MeAAI","1B0030904606W400","N","0.09653","12.08","08-MAY-18","Item Updated"
"a8k16000000g0JfAAI","1B0030504606W400","N","0.0124","9.17","08-MAY-18","Item Updated"
"a8k16000000g0DAAAY","1B0023104506W400","N","0.00235","8.19","08-MAY-18","Item Updated"
"a8k16000000g0mMAAQ","1B0023004506W400","N","0.00562","9.25","08-MAY-18","Item Updated"
"a8k16000000g0rlAAA","1B0022204506W400","N","0.02554","11.29","08-MAY-18","Item Updated"
"a8k16000000g0mYAAQ","1B0022104506W400","N","0.1277","4.21","08-MAY-18","Item Updated"
"a8k16000000g0RuAAI","1B0021704606W400","N","0.01002","10.51","08-MAY-18","Item Updated"
"a8k16000000g0mxAAA","1B0013304506W400","N","0.03263","4.14","08-MAY-18","Item Updated"
"a8k16000000fzvCAAQ","1B0013204506W400","N","0.0807","0","08-MAY-18","Item Updated"
"a8k16000000g0mLAAQ","1B0013004506W400","N","0.00593","8.34","08-MAY-18","Item Updated"
"a8k16000000g0mpAAA","1B0012904506W400","N","0.07977","5.53","08-MAY-18","Item Updated"
"a8k16000000g0F3AAI","1B0012804506W400","N","0.08136","10.26","08-MAY-18","Item Updated"
"a8k16000000g0gsAAA","1B0012004506W400","N","0.0246","5.31","08-MAY-18","Item Updated"
"a8k16000000g0HGAAY","1B0010504606W400","N","0.00036","0","08-MAY-18","Item Updated"
"a8k16000000g0RFAAY","1A0111904704W400","N","0.02339","26.31","08-MAY-18","Item Updated"
"a8k16000000fzBzAAI","1A0071104606W402","N","0","0","08-MAY-18","Item Updated"
"a8k16000000g0uwAAA","19H130104819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fxVcAAI","19G140504819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000g0uvAAA","19G130104819W300","N","0.0095","756.38","08-MAY-18","Item Updated"
"a8k16000000fziVAAQ","19G060105024W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000fxVbAAI","19F140504819W300","N","0.0116","90.61","08-MAY-18","Item Updated"
"a8k16000000g0uuAAA","19F130104819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fzR4AAI","19F060605023W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000fziUAAQ","19F060105024W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000fxVaAAI","19E140504819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000g0utAAA","19E130104819W300","N","0.0095","256.89","08-MAY-18","Item Updated"
"a8k16000000g1wxAAA","19E061605223W300","N","0.03627","0","08-MAY-18","Item Updated"
"a8k16000000fzt5AAA","19E060605023W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000fziTAAQ","19E060105024W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000fxVZAAY","19D140504819W300","N","0.0116","1972.94","08-MAY-18","Item Updated"
"a8k16000000fzbFAAQ","19D130704923W300","N","0.01923","0","08-MAY-18","Item Updated"
"a8k16000000g0usAAA","19D130104819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fxVoAAI","19D110704819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fz7eAAA","19D070105024W300","N","0.023","0","08-MAY-18","Item Updated"
"a8k16000000g1wnAAA","19D061605223W300","N","0.03905","0","08-MAY-18","Item Updated"
"a8k16000000g0xnAAA","19D060705023W300","N","0.08316","0","08-MAY-18","Item Updated"
"a8k16000000g1CTAAY","19D040704923W300","N","0.01933","0","08-MAY-18","Item Updated"
"a8k16000000fxVYAAY","19C140504819W300","N","0","0","08-MAY-18","Item Updated"
"a8k16000000fzbEAAQ","19C130704923W300","N","0.04181","177.19","08-MAY-18","Item Updated"
"a8k16000000g0uiAAA","19C130104819W300","N","0.0095","793.67","08-MAY-18","Item Updated"
"a8k16000000fxVnAAI","19C110704819W300","N","0.0116","1555.01","08-MAY-18","Item Updated"
